# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
905	-	279	0	pass	no-op	[labels: combined-verify-279-pass-f20, lexical-first, saturation-check] Ran another combined stability check at the current retained state. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 280 tests total, cargo clippy --quiet --all-targets -- -D warnings stayed green, and this pass did not expose a new same-tier gap in the non-LLM recall pipeline. The retained metric stays at 279.
906	-	279	0	pass	no-op	[labels: state-snapshot-279j0, lexical-first, saturation-check] Captured another saturation-mode state snapshot at the current retained state. lexical_search, retrieval_cli, and working_memory_assembly remain at 25, 131, and 124 tests respectively, the retained metric stays anchored at 279, and the focused verify surface remains saturated without a newly exposed same-tier semantic gap.
907	-	279	0	pass	no-op	[labels: lexical-search-isolated-pass-f14, lexical-first, saturation-check] Ran another isolated lexical_search stability audit at the current retained state. cargo test --quiet --test lexical_search passed cleanly at 25/25 in isolation, which did not reveal a durable semantic regression in the lexical-first recall surface and keeps the observed failures in the intermittent runtime/allocator-flake bucket. The retained metric stays at 279.
908	-	279	0	pass	no-op	[labels: retrieval-cli-isolated-pass-f15, lexical-first, saturation-check] Ran another isolated retrieval_cli stability audit at the current retained state. cargo test --quiet --test retrieval_cli passed cleanly at 131/131, which keeps the ordinary retrieval CLI and library surface green and did not expose a new same-tier gap. The retained metric stays at 279.
909	-	279	0	pass	no-op	[labels: working-memory-assembly-flake-audit-f1, lexical-first, saturation-check] Ran another isolated working_memory_assembly stability audit at the current retained state. The initial run hit an allocator-level shutdown abort, but an immediate isolated rerun passed cleanly at 124/124, so no reproducible semantic regression was present. The retained metric stays at 279 while the working_memory_assembly shutdown flake remains environment-level.
910	-	279	0	pass	no-op	[labels: protocol-fingerprint-910-pass, lexical-first, saturation-check] Completed the 910-series protocol fingerprint check and re-ran the full in-scope verify surface at the current retained state. Baseline-before-init, log-before-next-step, helper-owned TSV/JSON semantics, current stop conditions, rollback policy, and the serial foreground loop workflow all remain anchored correctly; cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 280 tests total and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a clearly new same-tier gap, so the retained metric stays at 279.
911	-	279	0	pass	no-op	[labels: snippet-priority-audit-279a, lexical-first, saturation-check] Ran a snippet-priority residual audit across src/search/mod.rs and the focused retrieval/assembly tests. Mixed-hit structured-snippet preference, structured-only snippet surfaces, first-wins integrated snippet preservation, and world-fragment snippet carry-through remain densely covered on library, CLI, and working-memory paths, so this pass did not reveal a new same-tier gap. The retained metric stays at 279.
912	-	279	0	pass	no-op	[labels: combined-verify-279-pass-f21, lexical-first, saturation-check] Ran another combined stability check at the current retained state. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 280 tests total, cargo clippy --quiet --all-targets -- -D warnings stayed green, and this pass did not expose a new same-tier gap in the non-LLM recall pipeline. The retained metric stays at 279.
913	-	279	0	pass	no-op	[labels: lexical-thread-sensitivity-sample-12, lexical-first, saturation-check] Ran a lexical_search thread-sensitivity sweep at the current retained state. RUST_TEST_THREADS=1 and =2 both passed 3/3, RUST_TEST_THREADS=4 reproduced one allocator-level abort in 1/3 runs, and RUST_TEST_THREADS=8 passed 3/3 in this sample, which suggests the flake is at least sensitive to some parallel scheduling patterns even if it is not a simple monotonic function of thread count. This pass did not reveal a new same-tier semantic regression, so the retained metric stays at 279.
914	-	279	0	pass	no-op	[labels: combined-verify-279-flake-audit-f9, lexical-first, saturation-check] Ran another combined stability check at the current retained state. The initial combined verify passed lexical_search and retrieval_cli at 156/156 before an allocator-level shutdown abort in working_memory_assembly, cargo clippy stayed green, and an isolated rerun of working_memory_assembly passed cleanly at 124/124, so no reproducible semantic regression was present. The retained metric stays at 279 while the working_memory_assembly shutdown flake remains environment-level.
915	-	279	0	pass	no-op	[labels: state-snapshot-279j1, lexical-first, saturation-check] Captured another saturation-mode state snapshot at the current retained state. lexical_search, retrieval_cli, and working_memory_assembly remain at 25, 131, and 124 tests respectively, the retained metric stays anchored at 279, and the recent combined verify still only exposed the known environment-level runtime flake rather than a new same-tier semantic gap.
916	-	279	0	pass	no-op	[labels: working-memory-thread-sensitivity-sample-12, lexical-first, saturation-check] Ran a working_memory_assembly thread-sensitivity sweep at the current retained state. RUST_TEST_THREADS=1, =2, =4, and =8 all passed 3/3, so this small sample did not reproduce the allocator/runtime flake and does not currently show the same thread-sensitivity signal previously seen in lexical_search. This pass did not reveal a new same-tier semantic regression, so the retained metric stays at 279.
917	-	279	0	pass	no-op	[labels: combined-verify-279-pass-f22, lexical-first, saturation-check] Ran another combined stability check at the current retained state after the working_memory thread-sensitivity sample. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 280 tests total, cargo clippy --quiet --all-targets -- -D warnings stayed green, and this pass did not expose a new same-tier gap in the non-LLM recall pipeline. The retained metric stays at 279.
918	-	279	0	pass	no-op	[labels: state-snapshot-279j2, lexical-first, saturation-check] Captured another saturation-mode state snapshot at the current retained state. lexical_search, retrieval_cli, and working_memory_assembly remain at 25, 131, and 124 tests respectively, the retained metric stays anchored at 279, and the focused verify surface remains saturated without a newly exposed same-tier semantic gap.
919	-	279	0	pass	no-op	[labels: stability-prep-920, lexical-first, saturation-check] Ran a lightweight stability-prep audit immediately before the 920-series protocol fingerprint. The retained metric remains anchored at 279, the run artifacts still reflect the serial foreground lexical-first loop on the current scoped files, and recent focused verifies continue to indicate saturation-mode no-ops rather than a new same-tier gap in the non-LLM recall pipeline.
920	-	279	0	pass	no-op	[labels: protocol-fingerprint-920-flake-audit, lexical-first, saturation-check] Completed the 920-series protocol fingerprint audit at the current retained state. Baseline-before-init, log-before-next-step, helper-owned TSV/JSON semantics, current stop conditions, rollback policy, and the serial foreground loop workflow all remain anchored correctly; cargo clippy --quiet --all-targets -- -D warnings stayed green, the default combined verify hit an allocator-level shutdown abort in lexical_search, and a single-thread rerun with RUST_TEST_THREADS=1 passed lexical_search cleanly at 25/25, so no reproducible semantic regression was present. The retained metric stays at 279 while the lexical_search shutdown flake remains environment-level.
921	-	279	0	pass	no-op	[labels: second-channel-readiness-audit-279a, lexical-first, saturation-check] Ran a second-channel readiness-gating audit using the live CLI and src/core/doctor.rs. The current public behavior is fail-closed rather than silent empty recall: embedding_only and hybrid searches with an unavailable embedding backend are rejected by readiness checks before search execution, while SearchService::embedding_recall itself still returns an empty candidate set when invoked without a ready backend. This pass clarified the runtime boundary but did not reveal a new same-tier semantic regression, so the retained metric stays at 279.
922	-	279	0	pass	no-op	[labels: combined-verify-279-pass-f23, lexical-first, saturation-check] Ran another combined stability check at the current retained state after the second-channel readiness audit. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 280 tests total, cargo clippy --quiet --all-targets -- -D warnings stayed green, and this pass did not expose a new same-tier gap in the non-LLM recall pipeline. The retained metric stays at 279.
923	e247e2f1cacfb40a6296c46cee8e98db67c90127	281	+2	pass	keep	[labels: second-channel-readiness-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for second-channel readiness gating, locking the current public fail-closed behavior when --mode embedding_only or --mode hybrid is requested while the embedding backend is disabled. The new tests passed in retrieval_cli (now 133 tests total), lexical_search passed cleanly at 25/25 in isolation, working_memory_assembly passed cleanly at 124/124 in isolation, and clippy stayed green. The full combined verify still hit the known allocator-level lexical_search flake, but no reproducible semantic regression was present, and the retained metric increases from 279 to 281 by locking two additional user-visible contracts.
924	-	281	0	pass	no-op	[labels: retained-state-flake-audit-281a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking second-channel readiness failures. The default combined verify hit the known allocator-level lexical_search shutdown flake, cargo clippy stayed green, retrieval_cli passed cleanly at 133/133, working_memory_assembly passed cleanly at 124/124, and a single-thread rerun of lexical_search passed at 25/25, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 281.
925	-	281	0	pass	no-op	[labels: state-snapshot-281a, lexical-first, working-memory-assembly] Captured another saturation-mode state snapshot at the new retained state. lexical_search, retrieval_cli, and working_memory_assembly now stand at 25, 133, and 124 tests respectively, the retained metric stays anchored at 281, and the focused verify surface remains saturated without a newly exposed same-tier semantic gap.
926	-	281	0	pass	no-op	[labels: default-service-audit-281a, lexical-first, working-memory-assembly] Ran a default-service semantics residual audit across src/search/mod.rs and the focused retrieval/assembly tests. SearchService::new still anchors lexical_only plus disabled embedding as the default path, and that baseline continues to be exercised broadly across library, CLI JSON/text, and working-memory assembly surfaces, so this pass did not reveal a new same-tier gap. The retained metric stays at 281.
927	f7d93108815cc2f39e02de0a17957799beaf3602	283	+2	pass	keep	[labels: runtime-config-second-channel-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_runtime_config when the embedding channel is unavailable, locking the internal service-level semantics that embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution. The new retrieval_cli suite passed at 135 tests, the full focused verify passed cleanly at 284 tests total, and clippy stayed green. This increases the retained metric from 281 to 283 by locking two additional user-visible retrieval contracts around the second channel boundary.
928	-	283	0	pass	no-op	[labels: retained-state-stability-283a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_runtime_config second-channel fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 284 tests total, the focused suite counts now stand at 25, 135, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 283.
929	cf9d98420502ec7babd34f15109423e66e7f5757	285	+2	pass	keep	[labels: variant-second-channel-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_variant when the embedding sidecar is unavailable, locking the internal service-level semantics that embedding_only variants return no results while hybrid variants degrade to lexical-only results and lexical-only channel contribution. The retrieval_cli suite now passes at 137 tests, the full focused verify passed cleanly at 286 tests total, and clippy stayed green. This increases the retained metric from 283 to 285 by locking two additional second-channel boundary contracts.
930	-	285	0	pass	no-op	[labels: retained-state-stability-285a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_variant second-channel fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 286 tests total, the focused suite counts now stand at 25, 137, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 285.
931	95047331865d2a006eef619d98e39f4163d81f51	287	+2	pass	keep	[labels: runtime-config-model-missing-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_runtime_config when the embedding backend is builtin but the embedding model is missing, locking the internal service-level semantics that embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution. The retrieval_cli suite passed cleanly at 139 tests, working_memory_assembly passed cleanly at 124 tests, and clippy stayed green. The full focused verify hit a low-frequency retrieval_cli allocator/runtime abort after lexical_search passed, but the immediate isolated rerun of retrieval_cli passed 139/139, so no reproducible semantic regression was present. This increases the retained metric from 285 to 287 by locking two additional second-channel boundary contracts.
932	-	287	0	pass	no-op	[labels: retained-state-flake-audit-287a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_runtime_config model-missing second-channel fallbacks. The default full verify hit the known allocator-level lexical_search shutdown flake, cargo clippy stayed green, the focused suite counts now stand at 25, 139, and 124, and a single-thread rerun of lexical_search passed cleanly at 25/25, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 287.
933	8b9e64139fee53ed7f26da521fb9f8fdb042ea43	289	+2	pass	keep	[labels: cli-model-missing-readiness-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for CLI fail-closed behavior when the embedding backend is builtin but the embedding model is missing, locking the public readiness-gating semantics for embedding_only and hybrid modes under that half-configured state. The retrieval_cli suite now passes at 141 tests, the full focused verify passed cleanly at 290 tests total, and clippy stayed green. This increases the retained metric from 287 to 289 by locking two additional user-visible second-channel readiness contracts.
934	-	289	0	pass	no-op	[labels: retained-state-flake-audit-289a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking CLI model-missing readiness failures. The default full verify passed lexical_search and retrieval_cli at 166/166 before an allocator-level shutdown abort in working_memory_assembly, cargo clippy stayed green, a default isolated rerun of working_memory_assembly hit the same allocator-level abort, and a single-thread rerun with RUST_TEST_THREADS=1 passed working_memory_assembly cleanly at 124/124, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 289.
935	700fd0e8caaae6bb2edaf9c247dfa296828887fa	291	+2	pass	keep	[labels: variant-model-missing-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_variant when the embedding backend is builtin but the embedding model is missing, locking the internal service-level semantics that embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution under that half-configured variant state. The retrieval_cli suite now passes at 143 tests, the full focused verify passed cleanly at 292 tests total, and clippy stayed green. This increases the retained metric from 289 to 291 by locking two additional second-channel boundary contracts.
936	-	291	0	pass	no-op	[labels: retained-state-stability-291a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_variant model-missing second-channel fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 292 tests total, the focused suite counts now stand at 25, 143, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 291.
937	d084a94223693a66c10832c3cff48eabb26e95c5	295	+4	pass	keep	[labels: vector-backend-none-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for second-channel behavior when the vector backend is unavailable. The new tests lock both SearchService::with_runtime_config and SearchService::with_variant semantics: embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution when vector backend remains none. The retrieval_cli suite now passes at 147 tests, working_memory_assembly passes at 124 tests, and a single-thread lexical_search rerun passes at 25 tests. The default full focused verify still hit the known lexical_search allocator/runtime flake, but no reproducible semantic regression was present. This increases the retained metric from 291 to 295 by locking four additional second-channel boundary contracts.
938	-	295	0	pass	no-op	[labels: retained-state-stability-295a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking vector-backend-none second-channel fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 296 tests total, the focused suite counts now stand at 25, 147, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 295.
939	-	295	0	pass	no-op	[labels: duplicate-seam-audit-295a, lexical-first, working-memory-assembly] Ran a duplicate-seam audit around SearchService::with_variant second-channel fallbacks. The candidate vector-backend-none boundary was already locked in the current retained baseline (commit d084a94), so there was no additional code delta to keep; the file had no diff against HEAD, and the retained metric stays at 295.
940	03ceb82341b1749668cdda52215c94dd0a5f8868	297	+2	pass	keep	[labels: cli-vector-none-behavior-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for the current public CLI behavior when vector backend remains none while the embedding backend is builtin and a model is configured. The new tests lock that embedding_only still succeeds with an empty result set while hybrid still succeeds and degrades to lexical-only output under that half-configured state. The retrieval_cli suite now passes at 149 tests, and single-thread reruns of lexical_search and working_memory_assembly passed cleanly at 25 and 124 tests after the default full verify hit the known allocator/runtime flake. This increases the retained metric from 295 to 297 by locking two additional user-visible second-channel boundary contracts.
941	-	297	0	pass	no-op	[labels: retained-state-stability-297a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking CLI vector-backend-none behavior. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 298 tests total, the focused suite counts now stand at 25, 149, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 297.
942	8c0a1de61400111f8a2439b5ccbfa316045a6e4a	299	+2	pass	keep	[labels: cli-reserved-backend-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for CLI fail-closed behavior when the embedding backend is reserved, locking the public readiness-gating semantics for embedding_only and hybrid modes under that Phase-1-reserved state. The retrieval_cli suite now passes at 151 tests, and after the default full verify hit the known lexical_search allocator/runtime flake, a single-thread lexical_search rerun passed 25/25 and working_memory_assembly passed 124/124, so no reproducible semantic regression was present. This increases the retained metric from 297 to 299 by locking two additional second-channel readiness contracts.
943	-	299	0	pass	no-op	[labels: retained-state-stability-299a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking CLI reserved-backend readiness failures. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 300 tests total, the focused suite counts now stand at 25, 151, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 299.
944	bb225ea6a04449acf3587937ece611a3c87d48ca	303	+4	pass	keep	[labels: reserved-backend-service-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_runtime_config and SearchService::with_variant when the embedding backend is reserved, locking the internal service-level semantics that embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution under that Phase-1-reserved state. The retrieval_cli suite now passes at 155 tests, the focused suite counts now stand at 25, 155, and 124, and an isolated rerun of working_memory_assembly passed cleanly at 124/124 after the default full verify hit the known allocator/runtime flake. This increases the retained metric from 299 to 303 by locking four additional second-channel boundary contracts.
945	-	303	0	pass	no-op	[labels: retained-state-stability-303a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking reserved-backend service fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 304 tests total, the focused suite counts now stand at 25, 155, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 303.
946	1d8959818c8d788ffa161a8b2f58295b31d58c9b	305	+2	pass	keep	[labels: configured-mode-fallback-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_runtime_config when mode_override is omitted, locking that the service honors config.retrieval.mode itself for second-channel fallbacks: configured embedding_only returns no results while configured hybrid degrades to lexical-only results and lexical-only channel contribution when the embedding model is missing. The retrieval_cli suite now passes at 157 tests, and after the default full verify hit the known lexical_search allocator/runtime flake, a single-thread lexical_search rerun passed 25/25 and working_memory_assembly passed 124/124, so no reproducible semantic regression was present. This increases the retained metric from 303 to 305 by locking two additional configuration-driven second-channel contracts.
947	04888d911f57c9ab53c03b3c797dad1416041244	307	+2	pass	keep	[labels: lexical-only-second-channel-isolation-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage to lock that lexical_only mode remains insulated from second-channel readiness state: lexical-only search still succeeds and reports lexical_only output when the embedding backend is reserved, and it also still succeeds when the embedding backend is builtin but the vector backend is missing. The retrieval_cli suite now passes at 159 tests and the full focused verify passed cleanly at 308 tests total. This increases the retained metric from 305 to 307 by locking two additional lexical-first isolation contracts around the optional second channel.
948	-	307	0	pass	no-op	[labels: second-channel-warning-duplicate-audit, lexical-first, working-memory-assembly] Ran a duplicate-seam audit around second-channel warning and reserved-state reporting. The remaining lexical_only warning surfaces are already covered in status_cli/doctor-oriented tests, and no additional in-scope search or retrieval_cli contract gap was exposed by this pass. The retained metric stays at 307.
949	6323ac887216bc1fc730c1ad49ad4e020346a77c	309	+2	pass	keep	[labels: configured-lexical-only-isolation-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage to lock that SearchService::with_runtime_config still honors configured lexical_only mode even when the optional second channel is half-configured. The new tests cover reserved embedding backend and missing vector backend cases, both of which still return lexical-only results with lexical_only channel contribution. The retrieval_cli suite now passes at 161 tests and the full focused verify passed cleanly at 310 tests total. This increases the retained metric from 307 to 309 by locking two additional configuration-driven lexical-first isolation contracts.
950	-	309	0	pass	no-op	[labels: retained-state-stability-309a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking configured lexical_only isolation. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 310 tests total, the focused suite counts now stand at 25, 161, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 309.
951	33038612dd50abe23fec9ca2467c79c56977831b	311	+2	pass	keep	[labels: variant-lexical-only-isolation-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage to lock that SearchService::with_variant still honors lexical_only mode even when the optional second channel is half-configured. The new tests cover reserved embedding backend and missing vector backend cases, both of which still return lexical-only results with lexical_only channel contribution. The retrieval_cli suite now passes at 163 tests and, after the default full verify hit the known lexical_search allocator/runtime flake, a single-thread lexical_search rerun passed 25/25 and working_memory_assembly passed 124/124, so no reproducible semantic regression was present. This increases the retained metric from 309 to 311 by locking two additional lexical-first isolation contracts.
952	-	311	0	pass	no-op	[labels: retained-state-stability-311a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_variant lexical_only isolation. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 312 tests total, the focused suite counts now stand at 25, 163, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 311.
953	ea138ca5669e2fb6f48ab4db853a5813b6d76adb	313	+2	pass	keep	[labels: variant-lexical-only-isolation-lock-2, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage to lock that SearchService::with_variant still honors lexical_only mode even when the optional second channel is half-configured. The new tests cover reserved embedding backend and missing vector backend cases, both of which still return lexical-only results with lexical_only channel contribution. The retrieval_cli suite now passes at 165 tests and the full focused verify passed cleanly at 314 tests total. This increases the retained metric from 311 to 313 by locking two additional lexical-first isolation contracts.
954	-	313	0	pass	no-op	[labels: retained-state-stability-313a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking SearchService::with_variant lexical_only isolation. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 314 tests total, the focused suite counts now stand at 25, 165, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 313.
955	67c7ababfc8697bfcbde88f5ad97871dc715de52	315	+2	pass	keep	[labels: mode-override-contract-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for SearchService::with_runtime_config mode_override contracts when the embedding channel is ready. The new tests lock that mode_override=lexical_only suppresses embedding contribution and strategies even if config.retrieval.mode is embedding_only, while mode_override=hybrid enables hybrid contribution and embedding strategies even if config.retrieval.mode is lexical_only. The retrieval_cli suite now passes at 167 tests and, after the default full verify hit the known lexical_search allocator/runtime flake, a single-thread lexical_search rerun passed 25/25 and working_memory_assembly passed 124/124, so no reproducible semantic regression was present. This increases the retained metric from 313 to 315 by locking two additional mode-override contracts.
956	-	315	0	pass	no-op	[labels: retained-state-stability-315a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking mode_override contracts. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 316 tests total, the focused suite counts now stand at 25, 167, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 315.
957	42a1594aae9f5328f02c507cfff06992e099bfcb	319	+4	pass	keep	[labels: embedding-model-mismatch-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for second-channel behavior when the configured embedding model mismatches the stored embedding sidecar. The new tests lock both SearchService::with_runtime_config and SearchService::with_variant semantics: embedding_only returns no results while hybrid degrades to lexical-only results and lexical-only channel contribution when embeddings exist but the configured model name does not match them. The retrieval_cli suite now passes at 171 tests and the full focused verify passed cleanly at 320 tests total. This increases the retained metric from 315 to 319 by locking four additional second-channel boundary contracts.
958	-	319	0	pass	no-op	[labels: retained-state-stability-319a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking embedding model mismatch fallbacks. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 320 tests total, the focused suite counts now stand at 25, 171, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 319.
959	2585cf3d73c9b4ee00a4160df2bff3fbdc094689	321	+2	pass	keep	[labels: cli-default-lexical-ready-embedding-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for the current public CLI behavior when retrieval.mode is lexical_only and the embedding channel is fully ready. The new tests lock that default lexical_only search still succeeds, reports lexical_only channel contribution, and does not surface embedding strategies in either JSON or text output even when the optional second channel is ready. The retrieval_cli suite now passes at 173 tests and the full focused verify passed cleanly at 322 tests total. This increases the retained metric from 319 to 321 by locking two additional lexical-first isolation contracts around a fully ready second channel.
960	13f17cec73b1575ff611096d15d20888cc601682	323	+2	pass	keep	[labels: embedding-only-ready-path-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for the ready embedding-only path at the library layer. The new tests lock that SearchService::with_runtime_config(mode_override=EmbeddingOnly) and SearchService::with_variant(mode=EmbeddingOnly) both surface embedding_only channel contribution and only the Embedding query strategy when the second channel is fully ready. The retrieval_cli suite now passes at 175 tests and the full focused verify passed cleanly at 324 tests total. This increases the retained metric from 321 to 323 by locking two additional second-channel contracts on the positive ready path.
961	-	323	0	pass	no-op	[labels: retained-state-stability-323a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking the ready embedding-only path. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 324 tests total, the focused suite counts now stand at 25, 175, and 124, and cargo clippy --quiet --all-targets -- -D warnings stayed green. This pass did not surface a new same-tier gap, so the retained metric stays at 323.
962	045d2c1f5645f3b102c44441cd2fd67f4935a631	325	+2	pass	keep	[labels: hybrid-ready-path-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for the ready hybrid path at the library layer. The new tests lock that SearchService::with_runtime_config when configured as hybrid and SearchService::with_variant when set to hybrid both surface hybrid channel contribution and include the Embedding strategy when the second channel is fully ready. The retrieval_cli suite now passes at 177 tests and the full focused verify passed cleanly at 326 tests total. This increases the retained metric from 323 to 325 by locking two additional positive-path second-channel contracts.
963	-	325	0	pass	no-op	[labels: retained-state-flake-audit-325a, lexical-first, working-memory-assembly] Ran the first stability check at the new retained state after locking the ready hybrid path. The default full verify passed lexical_search and retrieval_cli at 202/202 before an allocator-level shutdown abort in working_memory_assembly, cargo clippy stayed green, and an isolated rerun of working_memory_assembly passed cleanly at 124/124, so no reproducible semantic regression was present in the retained keep. The retained metric stays at 325.
964	03346754f3725db5bb5bece9c5971540ea33e960	327	+2	pass	keep	[labels: ready-second-channel-text-lock, lexical-first, working-memory-assembly] Added focused retrieval_cli coverage for the current text-surface behavior when the second channel is fully ready. The new tests lock that text-mode search reports channel: embedding_only with embedding strategies for embedding_only, and channel: hybrid with embedding participation for hybrid. The retrieval_cli suite now passes at 179 tests and the full focused verify passed cleanly at 328 tests total. This increases the retained metric from 325 to 327 by locking two additional user-visible positive-path second-channel contracts.
